"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","17,710",100.0,"261,430",100.0
Occupied housing units,"15,538",87.7,"221,479",84.7
Owner-occupied,"11,096",71.4,"155,659",70.3
Renter-occupied,"4,442",28.6,"65,820",29.7
Vacant housing units,"2,172",12.3,"39,951",15.3

Homeowner vacancy rate,(X),0.6,(X),1.7
Rental vacancy rate,(X),7.6,(X),7.9

