"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","3,522",100.0,"261,430",100.0
Single family units,"2,354",66.8,"182,817",69.9
2 to 4 units,117,3.3,"19,426",7.4
5 to 9 units,51,1.4,"8,872",3.4
10 or more units,84,2.4,"13,702",5.2
Mobile home,916,26.0,"36,251",13.9
"RV, van, boat, etc.",0,0.0,362,0.1

