"COMPONENTS
  OF POPULATION CHANGE1",Number,Percent,Number,Percent
"Total
  Population Change",250,100.0,"9,056",100.0
Natural Change,63,25.2,"3,000",33.1
Births,115,(X),"7,426",(X)
Deaths,52,(X),"4,426",(X)
Net Migration,187,74.8,"6,056",66.9

