"COMPONENTS
  OF POPULATION CHANGE1",Number,Percent,Number,Percent
"Total
  Population Change",-1,100.0,"9,056",100.0
Natural Change,18,-1800.0,"3,000",33.1
Births,100,(X),"7,426",(X)
Deaths,82,(X),"4,426",(X)
Net Migration,-19,1900.0,"6,056",66.9

