RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","35,868",100.0,"555,587",100.0
Same house,"24,453",68.2,"454,552",81.8
Different house in the U.S.,"11,056",30.8,"99,164",17.8
Same county,"5,206",14.5,"54,717",9.8
Different county,"5,850",16.3,"44,447",8.0
Same state,"2,307",6.4,"14,481",2.6
Different state,"3,543",9.9,"29,966",5.4
Abroad,359,1.0,"1,871",0.3

