RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","11,521",100.0,"555,587",100.0
Same house,"9,866",85.6,"454,552",81.8
Different house in the U.S.,"1,621",14.1,"99,164",17.8
Same county,727,6.3,"54,717",9.8
Different county,894,7.8,"44,447",8.0
Same state,298,2.6,"14,481",2.6
Different state,596,5.2,"29,966",5.4
Abroad,34,0.3,"1,871",0.3

