"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","5,177",100.0,"306,315",100.0
Employment,"4,893",94.5,"292,096",95.4
Unemployment,284,5.5,"14,219",4.6
"Unemployment
  Rate",5.5%,(X),4.6%,(X)

