TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","22,439",100.0,"883,401",100.0
Passenger Cars,"5,218",23.3,"348,250",39.4
Trucks,"7,468",33.3,"251,400",28.5
Motorcycles,436,1.9,"29,853",3.4
Trailers (including house trailers),"7,070",31.5,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",170,0.8,"5,025",0.6
Commercial Trucks & Trailers,"1,542",6.9,"24,901",2.8
Others,535,2.4,"27,577",3.1
"Road
  (miles)","1,148",100.0,"29,070",100.0
Federal,364,31.7,"4,089",14.1
State Highway,229,20.0,"6,752",23.2
County Road,472,41.1,"14,620",50.3
Local (City & Town),43,3.7,"2,431",8.4
Other,41,3.6,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","19,941",(X),"15,659",(X)
"Commercial
  Airport Passengers",0,(X),"997,818",(X)

