"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"14,647",100.0,"549,049",100.0
Under .50,516,3.5,"24,850",4.5
.50 to .99,"1,148",7.8,"35,786",6.5
1.00 to 1.24,248,1.7,"19,623",3.6
1.25 to 1.49,657,4.5,"23,841",4.3
1.50 to 1.84,836,5.7,"37,058",6.7
1.85 to 1.99,637,4.3,"14,161",2.6
2.00 and over,"10,605",72.4,"393,730",71.7

