CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",12,100.0,"1,086",100.0
Murder,0,0.0,14,1.3
Forcible Rape,1,8.3,147,13.5
Robbery,0,0.0,60,5.5
Aggravated Assault,11,91.7,865,79.7
"Property
  Crime",83,100.0,"12,791",100.0
Burglary,22,26.5,"2,061",16.1
Larceny-Theft,57,68.7,"10,182",79.6
Motor Vehicle Theft,4,4.8,548,4.3

