"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","17,710",100.0,"261,430",100.0
Single family units,"12,812",72.3,"182,817",69.9
2 to 4 units,592,3.3,"19,426",7.4
5 to 9 units,685,3.9,"8,872",3.4
10 or more units,600,3.4,"13,702",5.2
Mobile home,"3,002",17.0,"36,251",13.9
"RV, van, boat, etc.",19,0.1,362,0.1

