MORTGAGE STATUS2,Number,Percent,Number,Percent
"Owner-occupied
  units","3,414",100.0,"155,659",100.0
Housing units with a mortgage,"1,823",53.4,"94,301",60.6
Housing units without a mortgage,"1,591",46.6,"61,358",39.4

