"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","12,821",100.0,"261,430",100.0
Single family units,"8,291",64.7,"182,817",69.9
2 to 4 units,"2,127",16.6,"19,426",7.4
5 to 9 units,"1,058",8.3,"8,872",3.4
10 or more units,918,7.2,"13,702",5.2
Mobile home,386,3.0,"36,251",13.9
"RV, van, boat, etc.",41,0.3,362,0.1

