"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All Races
  Combined","41,110",100.0,"576,412",100.0
White Alone,"30,968",75.3,"536,450",93.1
Black or African American Alone,335,0.8,"8,555",1.5
American Indian and Alaska Native Alone,"8,454",20.6,"15,003",2.6
Asian Alone,223,0.5,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",22,0.1,575,0.1
Two or More Races,"1,108",2.7,"10,646",1.8

"Hispanic
  (may be of any race)","2,555",6.2,"54,770",9.5
Non-Hispanic,"38,555",93.8,"521,642",90.5
White Alone,"29,201",71.0,"487,822",84.6

