EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","9,326",100.0,"371,096",100.0
Less than 9th grade,249,2.7,"8,661",2.3
"9th to 12th grade, no diploma",536,5.7,"20,726",5.6
"High school graduate (includes
  equivalency)","3,765",40.4,"113,353",30.5
"Some college, no degree","2,393",25.7,"101,199",27.3
Associate's degree,856,9.2,"37,126",10.0
Bachelor's degree,"1,120",12.0,"60,011",16.2
Graduate or professional degree,407,4.4,"30,020",8.1

"Percent
  high school graduate or higher",(X),91.6,(X),92.1
"Percent
  bachelor's degree or higher",(X),16.4,(X),24.3

