TRANSPORTATION12,Number,Percent,Number,Percent
"Number of
  Registered Vehicles","14,440",100.0,"883,401",100.0
Passenger Cars,"4,437",30.7,"348,250",39.4
Trucks,"4,446",30.8,"251,400",28.5
Motorcycles,514,3.6,"29,853",3.4
Trailers (including house trailers),"4,017",27.8,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",60,0.4,"5,025",0.6
Commercial Trucks & Trailers,434,3.0,"24,901",2.8
Others,532,3.7,"27,577",3.1
"Road
  (miles)","1,195",100.0,"29,070",100.0
Federal,172,14.4,"4,089",14.1
State Highway,293,24.5,"6,752",23.2
County Road,655,54.8,"14,620",50.3
Local (City & Town),33,2.7,"2,431",8.4
Other,41,3.5,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","27,100",(X),"15,659",(X)
"Commercial
  Airport Passengers",0,(X),"997,818",(X)

