"GROSS
  RENT2",Number,Percent,Number,Percent
"Occupied
  units paying rent",620,100.0,"58,693",100.0
Less than $200,13,2.1,862,1.5
$200 to $299,78,12.6,"2,200",3.7
$300 to $499,216,34.8,"8,024",13.7
$500 to $749,228,36.8,"19,540",33.3
$750 to $999,82,13.2,"14,169",24.1
"$1,000 to $1,499",3,0.5,"10,137",17.3
"$1,500 or more",0,0.0,"3,761",6.4
Median (dollars),$519,(X),$733,(X)

