"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",354,4.5,"10,532",7.2
With related children under 18 years,272,8.2,"8,494",12.4
Married couple families,126,1.9,"4,139",3.5
With related children under 18 years,55,2.3,"2,719",5.7
"Families with female householder, no husband
  present",228,27.6,"5,472",28.4
With related children under 18 years,217,39.5,"4,982",36.2

"All
  people","2,443",8.6,"60,636",11.0
Under 18 years,698,11.3,"19,470",14.7
18 to 64 years,"1,440",8.1,"36,902",10.6
65 years and over,305,6.9,"4,264",6.3

