"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$50,755",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$7,326",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$13,947",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$20,210",(X),"$35,391",(X)

