AGRICULTURE7,Number,Percent,Number,Percent
"Number of
  Farms",744,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)","2,878",(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$52,317",100.0,"$1,663,761",100.0
Livestock and Products,"$46,881",89.6,"$1,235,198",74.2
Crops,"$5,436",10.4,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$3,879",(X),"$268,001",(X)

