AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",627,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)",303,(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$95,411",100.0,"$1,663,761",100.0
Livestock and Products,"$33,396",35.0,"$1,235,198",74.2
Crops,"$62,015",65.0,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$24,119",(X),"$268,001",(X)

