"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$93,194",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$4,508",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$44,291",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$29,497",(X),"$35,391",(X)

