AGRICULTURE7,Number,Percent,Number,Percent
"Number of
  Farms",790,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)","1,370",(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$215,130",100.0,"$1,663,761",100.0
Livestock and Products,"$160,978",74.8,"$1,235,198",74.2
Crops,"$54,152",25.2,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$25,732",(X),"$268,001",(X)

