"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","14,212",100.0,"306,315",100.0
Employment,"13,454",94.7,"292,096",95.4
Unemployment,758,5.3,"14,219",4.6
"Unemployment
  Rate",5.3%,(X),4.6%,(X)

