"COMPONENTS
  OF POPULATION CHANGE1",Number,Percent,Number,Percent
"Total
  Population Change","1,284",100.0,"9,056",100.0
Natural Change,504,39.3,"3,000",33.1
Births,793,(X),"7,426",(X)
Deaths,289,(X),"4,426",(X)
Net Migration,780,60.7,"6,056",66.9

