"GROSS
  RENT2",Number,Percent,Number,Percent
"Occupied
  units paying rent","4,446",100.0,"58,693",100.0
Less than $200,66,1.5,862,1.5
$200 to $299,183,4.1,"2,200",3.7
$300 to $499,220,4.9,"8,024",13.7
$500 to $749,992,22.3,"19,540",33.3
$750 to $999,"1,470",33.1,"14,169",24.1
"$1,000 to $1,499","1,026",23.1,"10,137",17.3
"$1,500 or more",489,11.0,"3,761",6.4
Median (dollars),$881,(X),$733,(X)

