"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"21,235",100.0,"549,049",100.0
Under .50,842,4.0,"24,850",4.5
.50 to .99,795,3.7,"35,786",6.5
1.00 to 1.24,386,1.8,"19,623",3.6
1.25 to 1.49,"1,288",6.1,"23,841",4.3
1.50 to 1.84,"1,501",7.1,"37,058",6.7
1.85 to 1.99,377,1.8,"14,161",2.6
2.00 and over,"16,046",75.6,"393,730",71.7

