"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"5,526",100.0,"278,595",100.0
Private,"4,463",80.8,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",78,1.4,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction","1,607",29.1,"27,688",9.9
Utilities,27,0.5,"2,469",0.9
Construction,688,12.5,"21,500",7.7
Manufacturing,47,0.8,"9,357",3.4
Wholesale Trade,29,0.5,"9,166",3.3
Retail Trade,370,6.7,"29,444",10.6
Transportation & Warehousing,266,4.8,"9,554",3.4
Information,26,0.5,"3,902",1.4
Financial Activities,187,3.4,"10,754",3.9
Professional & Business Services,403,7.3,"18,010",6.5
Educational & Health Services,198,3.6,"25,324",9.1
Leisure & Hospitality,428,7.7,"33,923",12.2
Other Services,110,2.0,"8,564",3.1
Government,"1,064",19.2,"66,403",23.8
Federal Government,127,2.3,"7,522",2.7
State Government,84,1.5,"13,343",4.8
Local Government,852,15.4,"45,538",16.3

