"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","2,386",100.0,"155,659",100.0
"Less than $50,000",164,6.9,"16,506",10.6
"$50,000 to $99,999",477,20.0,"14,553",9.3
"$100,000 to $149,999",468,19.6,"23,529",15.1
"$150,000 to $199,999",437,18.3,"32,655",21.0
"$200,000 to $299,999",433,18.1,"38,465",24.7
"$300,000 to $499,999",350,14.7,"20,225",13.0
"$500,000 to $999,999",39,1.6,"6,826",4.4
"$1,000,000 or more",18,0.8,"2,900",1.9
Median (dollars),"$157,700",(X),"$184,400",(X)

