"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","21,675",100.0,"576,412",100.0
White Alone,"20,654",95.3,"536,450",93.1
Black or African American Alone,182,0.8,"8,555",1.5
American Indian and Alaska Native Alone,216,1.0,"15,003",2.6
Asian Alone,276,1.3,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",22,0.1,575,0.1
Two or More Races,325,1.5,"10,646",1.8

"Hispanic
  (may be of any race)","3,382",15.6,"54,770",9.5
Non-Hispanic,"18,293",84.4,"521,642",90.5
White Alone,"17,517",80.8,"487,822",84.6

