"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",85,6.5,"10,532",7.2
With related children under 18 years,65,13.3,"8,494",12.4
Married couple families,44,3.9,"4,139",3.5
With related children under 18 years,24,6.3,"2,719",5.7
"Families with female householder, no husband
  present",41,34.7,"5,472",28.4
With related children under 18 years,41,52.6,"4,982",36.2

"All
  people",568,12.2,"60,636",11.0
Under 18 years,149,15.2,"19,470",14.7
18 to 64 years,365,13.8,"36,902",10.6
65 years and over,54,5.2,"4,264",6.3

