"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","3,530",100.0,"306,315",100.0
Employment,"3,369",95.4,"292,096",95.4
Unemployment,161,4.6,"14,219",4.6
"Unemployment
  Rate",4.6%,(X),4.6%,(X)

