"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"12,533",100.0,"549,049",100.0
Under .50,891,7.1,"24,850",4.5
.50 to .99,"1,403",11.2,"35,786",6.5
1.00 to 1.24,453,3.6,"19,623",3.6
1.25 to 1.49,806,6.4,"23,841",4.3
1.50 to 1.84,"1,319",10.5,"37,058",6.7
1.85 to 1.99,238,1.9,"14,161",2.6
2.00 and over,"7,423",59.2,"393,730",71.7

