"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",127,5.8,"10,532",7.2
With related children under 18 years,85,8.3,"8,494",12.4
Married couple families,53,2.9,"4,139",3.5
With related children under 18 years,31,4.1,"2,719",5.7
"Families with female householder, no husband
  present",54,25.5,"5,472",28.4
With related children under 18 years,34,22.5,"4,982",36.2

"All
  people",948,11.5,"60,636",11.0
Under 18 years,205,9.8,"19,470",14.7
18 to 64 years,571,12.1,"36,902",10.6
65 years and over,172,12.0,"4,264",6.3

