"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","6,518",100.0,"306,315",100.0
Employment,"6,206",95.2,"292,096",95.4
Unemployment,312,4.8,"14,219",4.6
"Unemployment
  Rate",4.8%,(X),4.6%,(X)

