"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$60,381",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$4,188",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$13,454",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$37,939",(X),"$35,391",(X)

