"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"43,204",100.0,"549,049",100.0
Under .50,"1,654",3.8,"24,850",4.5
.50 to .99,"2,607",6.0,"35,786",6.5
1.00 to 1.24,936,2.2,"19,623",3.6
1.25 to 1.49,"1,150",2.7,"23,841",4.3
1.50 to 1.84,"1,919",4.4,"37,058",6.7
1.85 to 1.99,"1,106",2.6,"14,161",2.6
2.00 and over,"33,832",78.3,"393,730",71.7

