"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","1,334",100.0,"306,315",100.0
Employment,"1,284",96.3,"292,096",95.4
Unemployment,50,3.7,"14,219",4.6
"Unemployment
  Rate",3.7%,(X),4.6%,(X)

