"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$36,129",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$7,001",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$8,351",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$16,331",(X),"$35,391",(X)

