"COMPONENTS
  OF POPULATION CHANGE1",Number,Percent,Number,Percent
"Total
  Population Change",28,100.0,"9,056",100.0
Natural Change,29,103.6,"3,000",33.1
Births,92,(X),"7,426",(X)
Deaths,63,(X),"4,426",(X)
Net Migration,-1,-3.6,"6,056",66.9

