"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","13,548",100.0,"261,430",100.0
Occupied housing units,"11,956",88.2,"221,479",84.7
Owner-occupied,"8,490",71.0,"155,659",70.3
Renter-occupied,"3,466",29.0,"65,820",29.7
Vacant housing units,"1,592",11.8,"39,951",15.3

Homeowner vacancy rate,(X),0.5,(X),1.7
Rental vacancy rate,(X),4.9,(X),7.9

