RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","6,933",100.0,"555,587",100.0
Same house,"6,300",90.9,"454,552",81.8
Different house in the U.S.,632,9.1,"99,164",17.8
Same county,261,3.8,"54,717",9.8
Different county,371,5.4,"44,447",8.0
Same state,188,2.7,"14,481",2.6
Different state,183,2.6,"29,966",5.4
Abroad,1,0.0,"1,871",0.3

