"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","4,023",100.0,"306,315",100.0
Employment,"3,799",94.4,"292,096",95.4
Unemployment,224,5.6,"14,219",4.6
"Unemployment
  Rate",5.6%,(X),4.6%,(X)

