EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","6,969",100.0,"371,096",100.0
Less than 9th grade,72,1.0,"8,661",2.3
"9th to 12th grade, no diploma",254,3.6,"20,726",5.6
"High school graduate (includes
  equivalency)","1,719",24.7,"113,353",30.5
"Some college, no degree","2,035",29.2,"101,199",27.3
Associate's degree,900,12.9,"37,126",10.0
Bachelor's degree,"1,258",18.1,"60,011",16.2
Graduate or professional degree,731,10.5,"30,020",8.1

"Percent
  high school graduate or higher",(X),95.3,(X),92.1
"Percent
  bachelor's degree or higher",(X),28.5,(X),24.3

