"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"28,283",100.0,"549,049",100.0
Under .50,"1,279",4.5,"24,850",4.5
.50 to .99,"1,164",4.1,"35,786",6.5
1.00 to 1.24,730,2.6,"19,623",3.6
1.25 to 1.49,"1,020",3.6,"23,841",4.3
1.50 to 1.84,"1,790",6.3,"37,058",6.7
1.85 to 1.99,"1,067",3.8,"14,161",2.6
2.00 and over,"21,233",75.1,"393,730",71.7

