"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"17,842",100.0,"549,049",100.0
Under .50,425,2.4,"24,850",4.5
.50 to .99,846,4.7,"35,786",6.5
1.00 to 1.24,463,2.6,"19,623",3.6
1.25 to 1.49,857,4.8,"23,841",4.3
1.50 to 1.84,"1,692",9.5,"37,058",6.7
1.85 to 1.99,354,2.0,"14,161",2.6
2.00 and over,"13,205",74.0,"393,730",71.7

