"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","29,596",100.0,"576,412",100.0
White Alone,"28,273",95.5,"536,450",93.1
Black or African American Alone,293,1.0,"8,555",1.5
American Indian and Alaska Native Alone,403,1.4,"15,003",2.6
Asian Alone,217,0.7,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",26,0.1,575,0.1
Two or More Races,384,1.3,"10,646",1.8

"Hispanic
  (may be of any race)","1,216",4.1,"54,770",9.5
Non-Hispanic,"28,380",95.9,"521,642",90.5
White Alone,"27,206",91.9,"487,822",84.6

