"GROSS
  RENT2",Number,Percent,Number,Percent
"Occupied
  units paying rent","1,133",100.0,"58,693",100.0
Less than $200,3,0.3,862,1.5
$200 to $299,41,3.6,"2,200",3.7
$300 to $499,119,10.5,"8,024",13.7
$500 to $749,453,40.0,"19,540",33.3
$750 to $999,302,26.7,"14,169",24.1
"$1,000 to $1,499",170,15.0,"10,137",17.3
"$1,500 or more",45,4.0,"3,761",6.4
Median (dollars),$701,(X),$733,(X)

