AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$42,392",100.0,"$44,580",100.0
Private,"$43,058",101.6,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$24,028",56.7,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$93,941",221.6,"$82,787",185.7
Utilities,"$83,478",196.9,"$81,625",183.1
Construction,"$42,666",100.6,"$49,321",110.6
Manufacturing,"$33,871",79.9,"$55,879",125.3
Wholesale Trade,"$49,506",116.8,"$57,547",129.1
Retail Trade,"$21,933",51.7,"$27,069",60.7
Transportation & Warehousing,"$50,811",119.9,"$47,370",106.3
Information,"$50,781",119.8,"$41,599",93.3
Financial Activities,"$38,484",90.8,"$49,113",110.2
Professional & Business Services,"$36,023",85.0,"$48,614",109.0
Educational & Health Services,"$23,788",56.1,"$40,194",90.2
Leisure & Hospitality,"$9,985",23.6,"$17,365",39.0
Other Services,"$20,173",47.6,"$34,795",78.1
Government,"$40,903",96.5,"$45,442",101.9
Federal Government,"$50,534",119.2,"$59,122",132.6
State Government,"$50,578",119.3,"$51,973",116.6
Local Government,"$39,332",92.8,"$41,270",92.6

