AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$38,347",100.0,"$44,580",100.0
Private,"$34,820",90.8,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$36,482",95.1,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$68,194",177.8,"$82,787",185.7
Utilities,"$80,356",209.5,"$81,625",183.1
Construction,"$41,161",107.3,"$49,321",110.6
Manufacturing,"$43,771",114.1,"$55,879",125.3
Wholesale Trade,"$45,672",119.1,"$57,547",129.1
Retail Trade,"$27,324",71.3,"$27,069",60.7
Transportation & Warehousing,"$43,532",113.5,"$47,370",106.3
Information,"$40,350",105.2,"$41,599",93.3
Financial Activities,"$44,750",116.7,"$49,113",110.2
Professional & Business Services,"$47,446",123.7,"$48,614",109.0
Educational & Health Services,"$36,215",94.4,"$40,194",90.2
Leisure & Hospitality,"$14,995",39.1,"$17,365",39.0
Other Services,"$22,813",59.5,"$34,795",78.1
Government,"$48,336",126.0,"$45,442",101.9
Federal Government,"$58,960",153.8,"$59,122",132.6
State Government,"$49,740",129.7,"$51,973",116.6
Local Government,"$44,741",116.7,"$41,270",92.6

