"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","2,868",100.0,"155,659",100.0
"Less than $50,000",266,9.3,"16,506",10.6
"$50,000 to $99,999",256,8.9,"14,553",9.3
"$100,000 to $149,999",167,5.8,"23,529",15.1
"$150,000 to $199,999",630,22.0,"32,655",21.0
"$200,000 to $299,999",821,28.6,"38,465",24.7
"$300,000 to $499,999",600,20.9,"20,225",13.0
"$500,000 to $999,999",105,3.7,"6,826",4.4
"$1,000,000 or more",23,0.8,"2,900",1.9
Median (dollars),"$215,300",(X),"$184,400",(X)

