MORTGAGE STATUS2,Number,Percent,Number,Percent
"Owner-occupied
  units","2,330",100.0,"155,659",100.0
Housing units with a mortgage,"1,168",50.1,"94,301",60.6
Housing units without a mortgage,"1,162",49.9,"61,358",39.4

