"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","19,797",100.0,"306,315",100.0
Employment,"18,610",94.0,"292,096",95.4
Unemployment,"1,187",6.0,"14,219",4.6
"Unemployment
  Rate",6.0%,(X),4.6%,(X)

