RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  1 year and over","15,535",100.0,"555,587",100.0
Same house,"12,515",80.6,"454,552",81.8
Different house in the U.S.,"3,004",19.3,"99,164",17.8
Same county,"1,369",8.8,"54,717",9.8
Different county,"1,635",10.5,"44,447",8.0
Same state,550,3.5,"14,481",2.6
Different state,"1,085",7.0,"29,966",5.4
Abroad,16,0.1,"1,871",0.3

