EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","10,856",100.0,"371,096",100.0
Less than 9th grade,391,3.6,"8,661",2.3
"9th to 12th grade, no diploma",715,6.6,"20,726",5.6
"High school graduate (includes
  equivalency)","4,015",37.0,"113,353",30.5
"Some college, no degree","2,830",26.1,"101,199",27.3
Associate's degree,"1,023",9.4,"37,126",10.0
Bachelor's degree,"1,252",11.5,"60,011",16.2
Graduate or professional degree,630,5.8,"30,020",8.1

"Percent
  high school graduate or higher",(X),89.8,(X),92.1
"Percent
  bachelor's degree or higher",(X),17.3,(X),24.3

