"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$47,088",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$8,039",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$13,017",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$9,708",(X),"$35,391",(X)

