AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",209,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)",341,(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$59,786",100.0,"$1,663,761",100.0
Livestock and Products,"$28,945",48.4,"$1,235,198",74.2
Crops,"$30,841",51.6,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$16,382",(X),"$268,001",(X)

