"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","18,819",100.0,"261,430",100.0
Occupied housing units,"16,937",90.0,"221,479",84.7
Owner-occupied,"12,902",76.2,"155,659",70.3
Renter-occupied,"4,035",23.8,"65,820",29.7
Vacant housing units,"1,882",10.0,"39,951",15.3

Homeowner vacancy rate,(X),1.0,(X),1.7
Rental vacancy rate,(X),7.7,(X),7.9

