"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","18,819",100.0,"261,430",100.0
Single family units,"10,722",57.0,"182,817",69.9
2 to 4 units,"1,244",6.6,"19,426",7.4
5 to 9 units,645,3.4,"8,872",3.4
10 or more units,"1,480",7.9,"13,702",5.2
Mobile home,"4,641",24.7,"36,251",13.9
"RV, van, boat, etc.",87,0.5,362,0.1

