"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$48,872",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$3,964",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$8,469",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$60,946",(X),"$35,391",(X)

