"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"8,445",100.0,"549,049",100.0
Under .50,187,2.2,"24,850",4.5
.50 to .99,486,5.8,"35,786",6.5
1.00 to 1.24,197,2.3,"19,623",3.6
1.25 to 1.49,254,3.0,"23,841",4.3
1.50 to 1.84,522,6.2,"37,058",6.7
1.85 to 1.99,428,5.1,"14,161",2.6
2.00 and over,"6,371",75.4,"393,730",71.7

