"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","8,713",100.0,"155,659",100.0
"Less than $50,000",627,7.2,"16,506",10.6
"$50,000 to $99,999",447,5.1,"14,553",9.3
"$100,000 to $149,999",812,9.3,"23,529",15.1
"$150,000 to $199,999","1,887",21.7,"32,655",21.0
"$200,000 to $299,999","2,415",27.7,"38,465",24.7
"$300,000 to $499,999","1,611",18.5,"20,225",13.0
"$500,000 to $999,999",719,8.3,"6,826",4.4
"$1,000,000 or more",195,2.2,"2,900",1.9
Median (dollars),"$223,900",(X),"$184,400",(X)

