"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"45,218",100.0,"549,049",100.0
Under .50,"1,447",3.2,"24,850",4.5
.50 to .99,"1,576",3.5,"35,786",6.5
1.00 to 1.24,"1,163",2.6,"19,623",3.6
1.25 to 1.49,"1,357",3.0,"23,841",4.3
1.50 to 1.84,"2,184",4.8,"37,058",6.7
1.85 to 1.99,558,1.2,"14,161",2.6
2.00 and over,"36,933",81.7,"393,730",71.7

