AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",234,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)","1,359",(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$48,719",100.0,"$1,663,761",100.0
Livestock and Products,"$42,756",87.8,"$1,235,198",74.2
Crops,"$5,963",12.2,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$10,347",(X),"$268,001",(X)

